WEEKLY,PROPOSAL_ID,SUPPORT,NUMBER_OF_VOTE_TRANSACTIONS,NUMBER_OF_ADRESSES,NUMBER_OF_VOTES
2020-06-22T00:00:00Z,10,For,98,98,1198438.472
2020-06-29T00:00:00Z,13,For,34,34,125332.2237
2020-09-07T00:00:00Z,22,Against,3,3,15015.34161
2020-06-08T00:00:00Z,7,For,28,28,1116310.81
2020-07-06T00:00:00Z,16,Against,20,20,523974.0559
2020-06-01T00:00:00Z,5,For,18,18,553679.15
2020-09-21T00:00:00Z,24,Against,2,2,10.671016
2020-09-14T00:00:00Z,23,For,38,38,427750.0615
2020-09-07T00:00:00Z,22,For,45,45,805960.1081
2020-06-29T00:00:00Z,13,Against,6,6,105049.9734
2020-05-25T00:00:00Z,4,Against,1,1,24107.64
2020-12-21T00:00:00Z,34,Against,1,1,4.070527
2020-12-07T00:00:00Z,31,For,52,52,856226.3701
2020-07-20T00:00:00Z,18,For,69,69,895108.8954
2021-02-08T00:00:00Z,37,For,25,32,1046375.044
2020-07-06T00:00:00Z,14,Against,34,34,564856.4965
2020-06-08T00:00:00Z,6,For,26,26,850811.54
2020-12-21T00:00:00Z,33,For,34,35,579763.4261
2020-05-11T00:00:00Z,3,For,21,21,726812.88
2021-03-08T00:00:00Z,41,For,9,9,0.299836
2020-08-24T00:00:00Z,21,Against,21,21,195969.0181
2021-03-01T00:00:00Z,39,For,29,33,952359.3472
2020-07-06T00:00:00Z,15,Against,9,9,9.58799
2020-12-14T00:00:00Z,32,Against,2,2,20000.37908
2020-06-29T00:00:00Z,11,For,48,48,666817.5911
2020-04-27T00:00:00Z,2,For,20,20,898262.35
2021-02-01T00:00:00Z,36,For,29,32,641899.7312
2020-09-28T00:00:00Z,25,Against,1,1,1.613579
2020-08-10T00:00:00Z,20,For,6,6,70.016671
2020-06-29T00:00:00Z,11,Against,2,2,0.765913
2020-06-15T00:00:00Z,9,For,51,51,758651.1502
2020-10-12T00:00:00Z,27,For,63,63,622697.0454
2021-03-22T00:00:00Z,42,For,46,58,1438678.863
2020-10-05T00:00:00Z,26,For,45,46,466606.2459
2020-05-18T00:00:00Z,4,For,11,11,397228.87
2020-06-29T00:00:00Z,14,Against,5,5,105016.32
2020-08-24T00:00:00Z,21,For,44,44,1119629.392
2020-06-15T00:00:00Z,9,Against,20,20,311570.1967
2020-07-13T00:00:00Z,17,For,31,31,113454.9984
2020-12-14T00:00:00Z,32,For,5,5,27488.94703
2020-11-30T00:00:00Z,30,Against,4,4,135.596783
2020-10-05T00:00:00Z,26,Against,1,1,1.029589
2021-02-08T00:00:00Z,37,Against,1,1,5001.436849
2020-08-17T00:00:00Z,20,Against,1,1,1.97553
2021-03-08T00:00:00Z,40,Against,1,1,0.194306
2021-03-08T00:00:00Z,40,For,193,199,1580817.491
2020-07-06T00:00:00Z,15,For,84,84,997005.4134
2021-03-15T00:00:00Z,41,For,35,42,474889.8511
2020-04-27T00:00:00Z,1,For,18,18,797981.28
2020-05-25T00:00:00Z,4,For,2,2,30000
2021-01-04T00:00:00Z,35,For,27,28,397954.8784
2020-11-30T00:00:00Z,30,For,18,18,182371.5225
2020-06-15T00:00:00Z,8,Against,5,5,15001.61093
2020-10-12T00:00:00Z,27,Against,1,1,1.029589
2020-08-17T00:00:00Z,20,For,30,30,898294.4417
2020-12-07T00:00:00Z,32,Against,25,25,661289.9958
2020-07-20T00:00:00Z,18,Against,5,5,1.825852
2020-06-29T00:00:00Z,14,For,18,18,102397.0512
2020-04-27T00:00:00Z,2,Against,2,2,25001
2021-02-08T00:00:00Z,38,Against,2,2,5000.053175
2020-12-07T00:00:00Z,30,For,35,35,1004068.777
2020-09-28T00:00:00Z,25,For,57,57,537376.4707
2020-11-09T00:00:00Z,29,For,50,50,487507.8198
2020-11-02T00:00:00Z,28,For,37,37,503747.165
2020-07-20T00:00:00Z,17,For,53,53,643746.9385
2021-01-04T00:00:00Z,35,Against,3,3,278.679414
2020-09-28T00:00:00Z,24,Against,1,1,5005.080192
2020-04-27T00:00:00Z,1,Against,6,6,85580.73
2020-07-06T00:00:00Z,16,For,84,84,533998.6068
2020-07-06T00:00:00Z,14,For,67,67,250807.7048
2020-06-22T00:00:00Z,11,For,63,63,104986.9321
2020-06-22T00:00:00Z,10,Against,16,16,189177.1198
2020-09-28T00:00:00Z,24,For,26,26,531278.8809
2020-06-15T00:00:00Z,8,For,64,64,1413016.673
2020-08-10T00:00:00Z,19,For,53,53,701578.1025
2020-12-21T00:00:00Z,33,Against,4,4,0.392458
2020-07-13T00:00:00Z,17,Against,2,2,1.536199
2020-12-07T00:00:00Z,31,Against,1,1,14.616937
2020-09-14T00:00:00Z,23,Against,1,1,0
2020-06-29T00:00:00Z,12,For,58,58,133613.8874
2020-09-21T00:00:00Z,24,For,18,18,205658.208
2021-02-08T00:00:00Z,38,For,15,17,259279.7532
2020-12-07T00:00:00Z,32,For,20,20,185463.2581
2021-02-01T00:00:00Z,36,Against,3,3,12101.56647
2020-12-21T00:00:00Z,34,For,37,38,592775.1203
2021-03-01T00:00:00Z,39,Against,12,12,411686.3579
2020-06-29T00:00:00Z,12,Against,48,48,538486.0831
2021-01-11T00:00:00Z,35,For,9,9,233954.9459
2020-06-22T00:00:00Z,11,Against,2,2,0.571027
2021-03-22T00:00:00Z,42,Against,1,1,1
