,DAILY,PROPOSAL_ID,SUPPORT,NUMBER_OF_VOTE_TRANSACTIONS,NUMBER_OF_ADRESSES,NUMBER_OF_VOTES
0,2020-12-13T00:00:00Z,id32,For,9,9,7535.528573
1,2020-12-22T00:00:00Z,id33,For,18,18,457065.8913
2,2020-06-23T00:00:00Z,id10,For,69,69,367401.075
3,2020-06-01T00:00:00Z,id5,For,8,8,232473.99
4,2020-05-15T00:00:00Z,id3,For,10,10,337966.66
5,2020-06-18T00:00:00Z,id8,Against,4,4,15001.61093
6,2020-08-27T00:00:00Z,id21,For,18,18,361680.8841
7,2021-02-12T00:00:00Z,id38,For,2,2,100.463681
8,2020-07-11T00:00:00Z,id16,Against,5,5,28002.77068
9,2020-06-22T00:00:00Z,id10,For,3,3,0.669991
10,2020-07-03T00:00:00Z,id12,For,5,5,25005.26494
11,2020-08-16T00:00:00Z,id20,For,6,6,70.016671
12,2020-04-30T00:00:00Z,id2,For,1,1,101000.0
13,2020-12-24T00:00:00Z,id34,For,7,7,13029.61171
14,2021-02-14T00:00:00Z,id38,Against,1,1,5000.0
15,2020-05-25T00:00:00Z,id4,Against,1,1,24107.64
16,2020-05-24T00:00:00Z,id4,For,4,4,230011.0
17,2020-11-10T00:00:00Z,id29,For,23,23,258412.4456
18,2021-03-10T00:00:00Z,id40,For,177,177,1032648.557
19,2020-07-01T00:00:00Z,id12,For,24,24,108570.629
20,2020-07-24T00:00:00Z,id18,For,28,28,111733.3519
21,2020-12-23T00:00:00Z,id33,For,8,9,105269.0959
22,2020-07-10T00:00:00Z,id15,For,23,23,472485.479
23,2020-06-29T00:00:00Z,id11,For,35,35,566665.5845
24,2020-11-03T00:00:00Z,id28,For,15,15,132550.501
25,2020-12-08T00:00:00Z,id30,For,16,16,482536.8332
26,2020-07-12T00:00:00Z,id16,For,7,7,35045.6202
27,2020-05-16T00:00:00Z,id3,For,7,7,217078.92
28,2021-03-26T00:00:00Z,id42,For,18,29,792733.2185
29,2020-07-06T00:00:00Z,id14,Against,14,14,68308.98845
30,2020-06-08T00:00:00Z,id6,For,11,11,327531.83
31,2020-07-21T00:00:00Z,id17,For,21,21,431158.2524
32,2020-12-21T00:00:00Z,id33,For,4,4,17417.20563
33,2020-04-27T00:00:00Z,id2,For,6,6,284123.64
34,2020-12-07T00:00:00Z,id31,For,3,3,31673.81437
35,2020-06-03T00:00:00Z,id5,For,3,3,41868.65
36,2020-07-08T00:00:00Z,id14,Against,5,5,136505.949
37,2020-04-28T00:00:00Z,id2,For,7,7,70064.27
38,2021-03-04T00:00:00Z,id39,For,8,11,32823.44201
39,2020-08-28T00:00:00Z,id21,Against,4,4,50018.88381
40,2020-07-24T00:00:00Z,id18,Against,2,2,0.564063
41,2020-08-18T00:00:00Z,id20,For,13,13,698217.7669
42,2020-06-29T00:00:00Z,id11,Against,2,2,0.765913
43,2020-07-09T00:00:00Z,id16,Against,3,3,0.422287
44,2020-09-27T00:00:00Z,id24,Against,2,2,10.671016
45,2020-12-14T00:00:00Z,id32,Against,2,2,20000.37908
46,2021-02-13T00:00:00Z,id38,Against,1,1,0.053175
47,2021-03-28T00:00:00Z,id42,For,2,2,50000.07796
48,2020-10-01T00:00:00Z,id25,Against,1,1,1.613579
49,2020-09-10T00:00:00Z,id22,For,9,9,455878.2068
50,2021-03-25T00:00:00Z,id42,For,22,22,539381.6981
51,2021-01-09T00:00:00Z,id35,For,11,11,147526.6972
52,2021-03-17T00:00:00Z,id41,For,3,5,50091.00821
53,2021-03-11T00:00:00Z,id40,For,9,13,504048.2061
54,2020-07-19T00:00:00Z,id17,For,31,31,113454.9984
55,2020-09-11T00:00:00Z,id22,For,7,7,31.201022
56,2021-02-14T00:00:00Z,id38,For,4,5,81128.20414
57,2020-07-08T00:00:00Z,id15,For,13,13,120027.0179
58,2020-10-12T00:00:00Z,id27,For,12,12,220127.6728
59,2020-07-02T00:00:00Z,id12,Against,25,25,131586.5583
60,2020-09-09T00:00:00Z,id22,For,24,24,334986.4548
61,2020-12-09T00:00:00Z,id31,For,18,18,318490.5357
62,2020-12-23T00:00:00Z,id34,For,8,9,105269.0959
63,2020-10-11T00:00:00Z,id26,For,8,8,20001.94507
64,2021-02-04T00:00:00Z,id36,For,4,5,76119.8906
65,2021-03-05T00:00:00Z,id39,For,9,10,793424.9671
66,2021-03-16T00:00:00Z,id41,For,16,21,197533.1848
67,2020-11-12T00:00:00Z,id29,For,7,7,7666.934436
68,2020-07-04T00:00:00Z,id12,Against,3,3,211095.5382
69,2020-05-23T00:00:00Z,id4,For,3,3,34742.88
70,2020-05-14T00:00:00Z,id3,For,4,4,171767.3
71,2020-12-14T00:00:00Z,id32,For,5,5,27488.94703
72,2020-05-22T00:00:00Z,id4,For,4,4,132474.99
73,2020-07-12T00:00:00Z,id16,Against,5,5,330954.3548
74,2020-09-29T00:00:00Z,id24,Against,1,1,5005.080192
75,2021-02-10T00:00:00Z,id37,Against,1,1,5001.436849
76,2020-08-17T00:00:00Z,id20,Against,1,1,1.97553
77,2021-03-26T00:00:00Z,id42,Against,1,1,1.0
78,2020-10-10T00:00:00Z,id26,Against,1,1,1.029589
79,2020-10-14T00:00:00Z,id27,Against,1,1,1.029589
80,2020-07-07T00:00:00Z,id14,For,11,11,50027.34071
81,2020-09-30T00:00:00Z,id25,For,18,18,72526.6912
82,2020-07-07T00:00:00Z,id14,Against,15,15,360041.559
83,2020-05-25T00:00:00Z,id4,For,2,2,30000.0
