DAILY,PROPOSAL_ID,SUPPORT,NUMBER_OF_VOTE_TRANSACTIONS,NUMBER_OF_ADRESSES,NUMBER_OF_VOTES
2021-01-10T00:00:00Z,35,Against,1,1,158.221755
2020-07-22T00:00:00Z,17,For,7,7,100099.8125
2020-12-08T00:00:00Z,31,For,27,27,130279.7896
2020-06-11T00:00:00Z,6,For,7,7,193520.83
2021-03-03T00:00:00Z,39,For,12,12,126110.9381
2020-06-19T00:00:00Z,9,Against,12,12,273530.1952
2020-08-15T00:00:00Z,19,For,11,11,65021.24371
2020-08-17T00:00:00Z,20,For,12,12,200046.4562
2020-08-13T00:00:00Z,19,For,27,27,471332.4344
2020-12-10T00:00:00Z,31,For,4,4,375782.2304
2020-06-11T00:00:00Z,7,For,22,22,693505.06
2020-09-18T00:00:00Z,23,For,19,19,238351.8876
2021-03-04T00:00:00Z,39,Against,5,5,120126.2054
2020-04-29T00:00:00Z,2,Against,1,1,25000
2021-02-10T00:00:00Z,37,For,15,20,731423.8636
2020-08-28T00:00:00Z,21,For,14,14,530122.2671
2020-12-22T00:00:00Z,34,For,22,22,474476.4127
2020-07-01T00:00:00Z,12,Against,8,8,132501.9059
2020-11-11T00:00:00Z,29,For,12,12,96533.91477
2020-07-11T00:00:00Z,16,For,14,14,150297.9156
2020-07-25T00:00:00Z,18,For,17,17,436009.686
2020-06-20T00:00:00Z,9,For,5,5,109.122676
2021-02-04T00:00:00Z,36,Against,1,1,0.25
2020-08-26T00:00:00Z,21,Against,5,5,15157.38578
2020-12-23T00:00:00Z,33,Against,2,2,0.384678
2020-07-26T00:00:00Z,18,For,5,5,28042.79663
2020-07-08T00:00:00Z,15,Against,2,2,0.035462
2020-12-09T00:00:00Z,31,Against,1,1,14.616937
2020-04-27T00:00:00Z,2,Against,1,1,1
2020-12-22T00:00:00Z,33,Against,2,2,0.00778
2020-12-12T00:00:00Z,32,Against,8,8,100197.0673
2020-12-07T00:00:00Z,30,For,19,19,521531.9442
2021-01-10T00:00:00Z,35,For,16,17,250428.1812
2020-10-14T00:00:00Z,27,For,24,24,207231.7936
2020-10-09T00:00:00Z,26,For,27,27,235208.8068
2020-11-09T00:00:00Z,29,For,8,8,124894.525
2020-07-05T00:00:00Z,13,For,34,34,125332.2237
2020-04-29T00:00:00Z,1,For,3,3,441712.27
2020-07-03T00:00:00Z,12,Against,12,12,63302.08075
2020-09-29T00:00:00Z,25,For,26,26,329763.4457
2020-12-06T00:00:00Z,30,For,18,18,182371.5225
2020-11-02T00:00:00Z,28,For,22,22,371196.6641
2020-07-20T00:00:00Z,17,For,25,25,112488.8736
2020-10-10T00:00:00Z,26,For,6,6,91560.45523
2020-07-04T00:00:00Z,12,For,4,4,2.021083
2020-09-29T00:00:00Z,24,For,7,7,134757.4423
2020-07-09T00:00:00Z,16,For,28,28,230047.4166
2021-03-14T00:00:00Z,41,For,9,9,0.299836
2021-02-02T00:00:00Z,36,For,11,11,378992.5625
2020-09-16T00:00:00Z,23,For,8,8,165360.8942
2020-06-02T00:00:00Z,5,For,7,7,279336.51
2020-07-05T00:00:00Z,14,Against,5,5,105016.32
2020-06-30T00:00:00Z,11,For,13,13,100152.0066
2020-09-16T00:00:00Z,23,Against,1,1,0
2020-07-08T00:00:00Z,14,For,4,4,2.227638
2020-08-19T00:00:00Z,20,For,5,5,30.218626
2020-09-19T00:00:00Z,23,For,8,8,19036.2141
2020-06-20T00:00:00Z,8,For,2,2,325748.1736
2020-06-19T00:00:00Z,8,Against,1,1,0
2020-07-26T00:00:00Z,18,Against,2,2,1.183503
2020-07-11T00:00:00Z,15,For,1,1,0.139006
2020-04-27T00:00:00Z,1,Against,3,3,40580.73
2021-03-10T00:00:00Z,40,Against,1,1,0.194306
2020-08-29T00:00:00Z,21,For,6,6,97.601712
2020-07-05T00:00:00Z,14,For,18,18,102397.0512
2020-07-06T00:00:00Z,14,For,52,52,200778.1365
2020-06-18T00:00:00Z,8,For,51,51,652011.5603
