PROPOSAL_ID,SUPPORT,NUMBER_OF_VOTE_TRANSACTIONS,NUMBER_OF_ADRESSES,NUMBER_OF_VOTES
291,For,1,1,2
290,Against,8,8,94
290,For,3,3,20
289,For,12,12,99
289,Against,8,8,78
288,For,14,14,142
288,Against,1,1,45
287,Against,4,4,44
287,For,19,19,214
286,Abstain,1,1,7
286,Against,9,9,137
286,For,18,18,129
285,For,9,9,48
285,Against,23,23,208
284,Against,7,7,63
284,Abstain,2,2,9
284,For,31,31,185
283,Abstain,2,2,4
283,For,2,2,1
283,Against,31,31,189
282,For,28,28,182
282,Against,25,25,163
282,Abstain,2,2,4
281,For,1,1,2
281,Against,16,16,105
280,Abstain,4,4,13
280,Against,6,6,42
280,For,21,21,112
279,Abstain,1,1,6
279,Against,15,15,124
279,For,30,30,143
278,Abstain,3,3,5
278,Against,13,13,121
278,For,28,28,153
277,Against,13,13,121
277,For,27,27,154
276,For,14,14,89
276,Against,28,28,151
274,For,31,31,157
274,Against,16,16,118
274,Abstain,1,1,7
273,Against,16,16,133
273,For,3,3,6
272,Against,13,13,93
272,For,29,29,184
272,Abstain,4,4,12
271,Against,29,29,173
271,For,49,49,179
271,Abstain,2,2,9
270,Against,23,23,130
270,Abstain,2,2,7
270,For,5,5,6
269,Abstain,3,3,57
269,Against,6,6,78
269,For,25,25,101
268,Against,17,17,115
268,For,21,21,158
268,Abstain,1,1,7
266,Abstain,4,4,16
266,For,9,9,64
266,Against,21,21,147
265,For,7,7,69
265,Against,21,21,144
265,Abstain,1,1,7
264,Against,10,10,110
263,Against,13,13,110
263,Abstain,2,2,1
263,For,41,41,190
262,Against,21,21,127
262,Abstain,2,2,8
262,For,27,27,131
261,Against,26,26,139
261,Abstain,3,3,8
261,For,26,26,161
260,Against,22,22,189
260,For,21,21,72
260,Abstain,1,1,1
259,For,41,41,250
259,Abstain,1,1,1
259,Against,3,3,29
258,For,2,2,3
258,Abstain,2,2,9
258,Against,29,29,224
257,For,41,41,256
257,Against,1,1,12
257,Abstain,1,1,1
256,Abstain,3,3,12
256,Against,21,21,153
256,For,44,44,163
255,For,12,12,36
255,Abstain,3,3,10
255,Against,21,21,108
254,For,40,40,215
254,Abstain,1,1,1
253,For,26,26,154
253,Abstain,1,1,1
253,Against,10,10,89
252,Against,11,11,87
252,For,1,1,1
251,For,30,30,125
251,Against,4,4,44
250,Against,2,2,3
250,For,41,41,212
250,Abstain,2,2,8
249,For,44,44,218
249,Abstain,1,1,3
249,Against,1,1,1
248,For,5,5,19
248,Abstain,1,1,3
248,Against,47,47,219
246,For,1,1,2
246,Against,3,3,25
245,Against,2,2,2
245,For,42,42,243
245,Abstain,1,1,1
244,Against,4,4,7
244,Abstain,6,6,14
244,For,36,36,213
242,For,37,37,187
242,Against,4,4,46
242,Abstain,3,3,11
241,For,39,39,107
241,Against,15,15,128
240,Abstain,6,6,63
240,For,13,13,37
240,Against,15,15,90
239,For,6,6,23
239,Against,10,10,89
238,For,28,28,97
238,Abstain,8,8,23
238,Against,11,11,103
237,For,39,39,195
236,For,37,37,194
233,For,22,22,112
233,Against,5,5,21
233,Abstain,7,7,26
232,Abstain,4,4,44
232,For,3,3,6
232,Against,22,22,128
231,For,36,36,184
229,Abstain,4,4,63
229,For,29,29,126
229,Against,7,7,37
228,For,14,14,119
228,Against,13,13,83
228,Abstain,1,1,1
227,Abstain,2,2,23
227,Against,13,13,93
227,For,23,23,123
226,Abstain,1,1,2
226,For,31,31,176
226,Against,6,6,39
225,Against,22,22,134
225,For,9,9,24
224,For,22,22,151
224,Abstain,2,2,3
224,Against,11,11,17
223,For,18,18,45
223,Abstain,2,2,17
223,Against,20,20,102
222,Against,33,33,197
222,For,6,6,27
222,Abstain,2,2,4
221,For,28,28,154
221,Abstain,1,1,3
221,Against,16,16,86
