,DAILY,PROPOSAL_ID,SUPPORT,NUMBER_OF_VOTE_TRANSACTIONS,NUMBER_OF_ADRESSES,NUMBER_OF_VOTES
1634,2022-04-17T00:00:00Z,id56,Abstain,1,1,1
1635,2022-04-16T00:00:00Z,id56,For,3,3,12
1636,2022-04-14T00:00:00Z,id55,Abstain,1,1,1
1637,2022-04-14T00:00:00Z,id55,Against,6,6,29
1638,2022-04-15T00:00:00Z,id55,Abstain,1,1,1
1639,2022-04-15T00:00:00Z,id55,Against,3,3,10
1640,2022-04-14T00:00:00Z,id55,For,1,1,1
1641,2022-04-16T00:00:00Z,id55,Against,2,2,2
1642,2022-04-14T00:00:00Z,id54,For,5,5,22
1643,2022-04-16T00:00:00Z,id54,For,1,1,1
1644,2022-04-15T00:00:00Z,id54,For,4,4,11
1645,2022-04-14T00:00:00Z,id54,Abstain,2,2,3
1646,2022-04-13T00:00:00Z,id54,For,2,2,7
1647,2022-04-16T00:00:00Z,id54,Abstain,1,1,1
1648,2022-04-11T00:00:00Z,id53,For,12,12,37
1649,2022-04-14T00:00:00Z,id53,For,1,1,7
1650,2022-04-13T00:00:00Z,id53,For,3,3,27
1651,2022-04-12T00:00:00Z,id53,For,4,4,4
1652,2022-04-12T00:00:00Z,id53,Abstain,2,2,1
1653,2022-04-13T00:00:00Z,id52,For,1,1,1
1654,2022-04-12T00:00:00Z,id52,Abstain,2,2,1
1655,2022-04-11T00:00:00Z,id52,Abstain,1,1,1
1656,2022-04-10T00:00:00Z,id52,For,1,1,6
1657,2022-04-12T00:00:00Z,id52,For,3,3,3
1658,2022-04-11T00:00:00Z,id52,For,9,9,32
1659,2022-04-11T00:00:00Z,id52,Against,2,2,2
1660,2022-04-12T00:00:00Z,id52,Against,1,1,7
1661,2022-04-13T00:00:00Z,id52,Abstain,1,1,25
1662,2022-04-12T00:00:00Z,id51,Abstain,1,1,1
1663,2022-04-11T00:00:00Z,id51,For,15,15,45
1664,2022-04-10T00:00:00Z,id51,For,3,3,9
1665,2022-04-12T00:00:00Z,id51,For,5,5,9
1666,2022-04-10T00:00:00Z,id51,Abstain,1,1,1
1667,2022-04-07T00:00:00Z,id50,Against,3,3,12
1668,2022-04-05T00:00:00Z,id49,Against,1,1,1
1669,2022-04-07T00:00:00Z,id49,Abstain,1,1,1
1670,2022-04-07T00:00:00Z,id49,Against,1,1,1
1671,2022-04-06T00:00:00Z,id49,Against,2,2,4
1672,2022-04-06T00:00:00Z,id49,Abstain,1,1,1
1673,2022-04-04T00:00:00Z,id49,Against,4,4,3
1674,2022-04-05T00:00:00Z,id49,For,3,3,16
1675,2022-04-05T00:00:00Z,id49,Abstain,2,2,26
1676,2022-04-07T00:00:00Z,id49,For,1,1,5
1677,2022-04-04T00:00:00Z,id49,For,2,2,12
1678,2022-04-04T00:00:00Z,id48,Against,1,1,5
1679,2022-04-05T00:00:00Z,id48,For,6,6,31
1680,2022-04-02T00:00:00Z,id48,For,1,1,1
1681,2022-04-04T00:00:00Z,id48,For,7,7,29
1682,2022-04-03T00:00:00Z,id48,For,2,2,5
1683,2022-04-03T00:00:00Z,id47,For,2,2,3
1684,2022-04-04T00:00:00Z,id47,For,9,9,30
1685,2022-04-04T00:00:00Z,id47,Abstain,1,1,1
1686,2022-04-05T00:00:00Z,id47,For,2,2,2
1687,2022-04-02T00:00:00Z,id47,For,2,2,6
1688,2022-04-02T00:00:00Z,id47,Abstain,1,1,1
1689,2022-03-28T00:00:00Z,id46,For,1,1,1
