,WEEKLY,PROPOSAL_ID,SUPPORT,NUMBER_OF_VOTE_TRANSACTIONS,NUMBER_OF_ADRESSES,NUMBER_OF_VOTES
150,5/2/2022,id72,Against,2,2,8
151,5/2/2022,id72,For,5,5,9
152,5/2/2022,id72,Abstain,2,2,33
153,5/2/2022,id71,For,10,10,51
154,5/9/2022,id75,For,16,16,66
155,5/9/2022,id75,Abstain,2,2,2
156,5/9/2022,id74,Abstain,3,3,3
157,5/9/2022,id74,For,3,3,3
158,5/9/2022,id74,Against,12,12,58
159,5/9/2022,id73,For,25,25,114
160,5/9/2022,id72,Against,2,2,2
161,5/9/2022,id72,For,7,7,22
162,5/9/2022,id72,Abstain,2,2,28
163,5/9/2022,id71,For,3,3,3
164,5/16/2022,id83,For,7,7,9
165,5/16/2022,id82,For,13,13,43
166,5/16/2022,id81,Abstain,1,1,1
167,5/16/2022,id81,For,3,3,51
168,5/16/2022,id81,Against,11,11,48
169,5/16/2022,id78,For,3,3,5
170,5/16/2022,id78,Against,4,4,45
171,5/16/2022,id78,Abstain,2,2,30
172,5/16/2022,id77,For,15,15,91
173,5/16/2022,id77,Abstain,1,1,1
174,5/16/2022,id75,For,10,10,54
175,5/16/2022,id75,Against,1,1,1
176,5/23/2022,id85,For,12,12,59
177,5/23/2022,id84,For,12,12,58
178,5/23/2022,id84,Against,2,2,2
179,5/23/2022,id83,For,19,19,118
180,5/23/2022,id83,Abstain,1,1,2
181,5/23/2022,id82,Against,5,5,22
182,5/23/2022,id82,Abstain,1,1,1
183,5/23/2022,id82,For,11,11,72
184,5/23/2022,id81,Against,11,11,35
185,5/23/2022,id81,For,3,3,3
186,5/30/2022,id87,For,27,27,134
187,5/30/2022,id86,Against,7,7,18
188,5/30/2022,id86,Abstain,12,12,77
189,5/30/2022,id86,For,2,2,2
190,5/30/2022,id85,For,17,17,70
191,5/30/2022,id85,Against,1,1,1
192,5/30/2022,id84,Abstain,2,2,10
193,5/30/2022,id84,For,11,11,33
194,6/6/2022,id94,For,6,6,16
195,6/6/2022,id93,Abstain,1,1,2
196,6/6/2022,id93,For,9,9,25
197,6/6/2022,id92,Against,1,1,1
198,6/6/2022,id92,For,25,25,119
199,6/6/2022,id91,For,25,25,121
200,6/6/2022,id90,For,31,31,132
201,6/6/2022,id90,Against,1,1,1
202,6/6/2022,id90,Abstain,1,1,1
203,6/6/2022,id89,Against,12,12,89
204,6/6/2022,id89,Abstain,2,2,2
205,6/6/2022,id89,For,9,9,39
206,6/13/2022,id95,For,28,28,139
207,6/13/2022,id94,For,8,8,36
208,6/13/2022,id94,Against,5,5,33
209,6/13/2022,id93,Against,4,4,52
210,6/13/2022,id93,Abstain,1,1,1
211,6/13/2022,id93,For,6,6,38
212,6/13/2022,id92,For,2,2,7
213,6/13/2022,id91,For,2,2,2
214,6/20/2022,id99,Against,1,1,1
215,6/20/2022,id99,For,9,9,12
216,6/20/2022,id98,For,12,12,42
217,6/20/2022,id98,Abstain,1,1,6
218,6/20/2022,id97,For,10,10,80
219,6/20/2022,id97,Abstain,1,1,6
220,6/20/2022,id97,Against,3,3,4
221,6/27/2022,id103,For,1,1,5
222,6/27/2022,id102,For,4,4,6
223,6/27/2022,id101,For,21,21,68
224,6/27/2022,id101,Abstain,1,1,14
225,6/27/2022,id101,Against,1,1,1
226,6/27/2022,id100,Against,1,1,1
227,6/27/2022,id100,For,17,17,43
228,6/27/2022,id100,Abstain,1,1,1
229,6/27/2022,id99,Against,1,1,1
230,6/27/2022,id99,For,14,14,65
231,7/4/2022,id107,For,1,1,1
232,7/4/2022,id106,For,16,16,97
233,7/4/2022,id105,For,27,27,104
234,7/4/2022,id104,For,20,20,68
235,7/4/2022,id104,Against,3,3,29
236,7/4/2022,id103,For,29,29,109
237,7/4/2022,id103,Against,1,1,1
238,7/4/2022,id102,For,12,12,62
239,7/4/2022,id102,Abstain,1,1,2
240,7/4/2022,id102,Against,1,1,1
241,7/11/2022,id114,For,4,4,5
242,7/11/2022,id113,For,3,3,5
243,7/11/2022,id112,For,16,16,64
244,7/11/2022,id112,Abstain,1,1,1
245,7/11/2022,id111,For,35,35,117
246,7/11/2022,id111,Abstain,3,3,23
247,7/11/2022,id111,Against,1,1,1
248,7/11/2022,id110,For,36,36,138
249,7/11/2022,id109,For,28,28,87
250,7/11/2022,id109,Against,3,3,4
251,7/11/2022,id108,Against,7,7,7
252,7/11/2022,id108,For,27,27,136
253,7/11/2022,id107,Abstain,7,7,25
254,7/11/2022,id107,For,7,7,41
255,7/11/2022,id107,Against,9,9,41
256,7/11/2022,id106,Against,1,1,1
257,7/11/2022,id106,For,3,3,5
258,7/18/2022,id116,For,9,9,30
259,7/18/2022,id114,For,29,29,132
260,7/18/2022,id113,Abstain,1,1,1
261,7/18/2022,id113,Against,1,1,1
262,7/18/2022,id113,For,25,25,118
263,7/18/2022,id112,For,11,11,53
264,7/18/2022,id112,Against,1,1,1
265,7/25/2022,id124,For,3,3,5
266,7/25/2022,id123,For,1,1,1
267,7/25/2022,id122,Against,3,3,47
268,7/25/2022,id122,For,1,1,2
269,7/25/2022,id121,Against,6,6,90
270,7/25/2022,id121,For,2,2,3
271,7/25/2022,id120,For,4,4,14
272,7/25/2022,id120,Against,13,13,114
273,7/25/2022,id120,Abstain,1,1,2
274,7/25/2022,id119,Abstain,1,1,1
275,7/25/2022,id119,For,25,25,139
276,7/25/2022,id118,For,24,24,69
277,7/25/2022,id118,Against,2,2,63
278,7/25/2022,id117,For,4,4,9
279,7/25/2022,id116,For,15,15,79
280,8/1/2022,id126,For,1,1,1
281,8/1/2022,id125,For,30,30,161
282,8/1/2022,id124,Abstain,1,1,2
283,8/1/2022,id124,Against,1,1,1
284,8/1/2022,id124,For,22,22,145
285,8/1/2022,id123,For,13,13,98
286,8/1/2022,id123,Against,2,2,7
287,8/1/2022,id122,Against,7,7,25
288,8/1/2022,id122,For,4,4,10
289,8/1/2022,id122,Abstain,2,2,3
290,8/1/2022,id121,For,3,3,24
291,8/1/2022,id121,Abstain,2,2,8
292,8/1/2022,id121,Against,3,3,9
293,8/1/2022,id120,Against,4,4,16
294,8/1/2022,id120,Abstain,1,1,1
295,8/1/2022,id120,For,1,1,1
296,8/1/2022,id119,For,7,7,19
297,8/1/2022,id119,Against,1,1,1
298,8/8/2022,id129,For,5,5,14
299,8/8/2022,id128,Abstain,1,1,1
300,8/8/2022,id128,For,31,31,99
301,8/8/2022,id127,For,19,19,51
302,8/8/2022,id127,Against,10,10,31
303,8/8/2022,id126,For,26,26,156
304,8/15/2022,id132,For,8,8,38
305,8/15/2022,id132,Against,1,1,6
306,8/15/2022,id131,Against,4,4,16
307,8/15/2022,id131,For,1,1,2
308,8/15/2022,id130,For,6,6,42
309,8/15/2022,id130,Abstain,1,1,2
310,8/15/2022,id130,Against,10,10,60
311,8/15/2022,id129,For,14,14,45
312,8/15/2022,id129,Against,1,1,1
313,8/15/2022,id128,For,2,2,12
314,8/22/2022,id133,For,6,6,26
315,8/22/2022,id133,Abstain,3,3,9
