,WEEKLY,PROPOSAL_ID,SUPPORT,NUMBER_OF_VOTE_TRANSACTIONS,NUMBER_OF_ADRESSES,NUMBER_OF_VOTES
632,2/13/2023,id238,Abstain,1,1,2
633,2/13/2023,id238,Against,1,1,2
634,2/13/2023,id237,For,39,39,195
635,2/13/2023,id236,For,37,37,194
636,2/13/2023,id233,Abstain,7,7,26
637,2/13/2023,id233,Against,5,5,21
638,2/13/2023,id233,For,22,22,112
639,2/13/2023,id232,Against,21,21,126
640,2/13/2023,id232,For,3,3,6
641,2/13/2023,id232,Abstain,4,4,44
642,2/13/2023,id231,For,32,32,150
643,2/13/2023,id229,Against,2,2,2
644,2/13/2023,id229,For,20,20,70
645,2/13/2023,id229,Abstain,4,4,63
646,2/13/2023,id228,For,11,11,113
647,2/13/2023,id228,Against,4,4,11
648,2/20/2023,id239,For,6,6,23
649,2/20/2023,id239,Against,10,10,89
650,2/20/2023,id238,For,23,23,90
651,2/20/2023,id238,Abstain,7,7,21
652,2/20/2023,id238,Against,10,10,101
653,2/27/2023,id242,For,2,2,3
654,2/27/2023,id241,For,22,22,91
655,2/27/2023,id241,Against,11,11,109
656,2/27/2023,id240,For,13,13,37
657,2/27/2023,id240,Abstain,6,6,63
658,2/27/2023,id240,Against,15,15,90
659,3/6/2023,id246,Against,3,3,25
660,3/6/2023,id246,For,1,1,2
661,3/6/2023,id245,Abstain,1,1,1
662,3/6/2023,id245,For,42,42,243
663,3/6/2023,id245,Against,2,2,2
664,3/6/2023,id244,For,36,36,213
665,3/6/2023,id244,Abstain,6,6,14
666,3/6/2023,id244,Against,4,4,7
667,3/6/2023,id242,Abstain,3,3,11
668,3/6/2023,id242,For,35,35,184
669,3/6/2023,id242,Against,4,4,46
670,3/6/2023,id241,For,17,17,16
671,3/6/2023,id241,Against,4,4,19
672,3/13/2023,id250,For,1,1,1
673,3/13/2023,id249,Abstain,1,1,3
674,3/13/2023,id249,For,44,44,218
675,3/13/2023,id249,Against,1,1,1
676,3/13/2023,id248,Against,47,47,219
677,3/13/2023,id248,For,5,5,19
678,3/13/2023,id248,Abstain,1,1,3
679,3/20/2023,id256,Against,7,7,64
680,3/20/2023,id256,For,3,3,5
681,3/20/2023,id255,Abstain,2,2,3
682,3/20/2023,id255,Against,19,19,103
683,3/20/2023,id255,For,11,11,20
684,3/20/2023,id254,Abstain,1,1,1
685,3/20/2023,id254,For,40,40,215
686,3/20/2023,id253,For,26,26,154
687,3/20/2023,id253,Against,10,10,89
688,3/20/2023,id253,Abstain,1,1,1
689,3/20/2023,id252,For,1,1,1
690,3/20/2023,id252,Against,11,11,87
691,3/20/2023,id251,For,30,30,125
692,3/20/2023,id251,Against,4,4,44
693,3/20/2023,id250,Abstain,2,2,8
694,3/20/2023,id250,Against,2,2,3
695,3/20/2023,id250,For,40,40,211
696,3/27/2023,id258,Against,29,29,224
697,3/27/2023,id258,Abstain,2,2,9
698,3/27/2023,id258,For,2,2,3
699,3/27/2023,id257,Abstain,1,1,1
700,3/27/2023,id257,Against,1,1,12
701,3/27/2023,id257,For,41,41,256
702,3/27/2023,id256,For,41,41,158
703,3/27/2023,id256,Against,14,14,89
704,3/27/2023,id256,Abstain,3,3,12
705,3/27/2023,id255,Against,2,2,5
706,3/27/2023,id255,Abstain,1,1,7
707,3/27/2023,id255,For,1,1,16
708,4/3/2023,id264,Against,10,10,110
709,4/3/2023,id263,For,24,24,143
710,4/3/2023,id263,Against,9,9,67
711,4/3/2023,id262,Abstain,2,2,8
712,4/3/2023,id262,For,27,27,131
713,4/3/2023,id262,Against,21,21,127
714,4/3/2023,id261,For,26,26,161
715,4/3/2023,id261,Against,26,26,139
716,4/3/2023,id261,Abstain,3,3,8
717,4/3/2023,id260,Against,22,22,189
718,4/3/2023,id260,For,21,21,72
719,4/3/2023,id260,Abstain,1,1,1
720,4/3/2023,id259,For,41,41,250
721,4/3/2023,id259,Against,3,3,29
722,4/3/2023,id259,Abstain,1,1,1
723,4/10/2023,id266,Against,5,5,60
724,4/10/2023,id266,For,3,3,6
725,4/10/2023,id265,Abstain,1,1,7
726,4/10/2023,id265,Against,21,21,144
727,4/10/2023,id265,For,7,7,69
728,4/10/2023,id263,Abstain,2,2,1
729,4/10/2023,id263,Against,4,4,43
730,4/10/2023,id263,For,17,17,47
731,4/17/2023,id269,Against,6,6,78
732,4/17/2023,id269,For,25,25,101
733,4/17/2023,id269,Abstain,3,3,57
734,4/17/2023,id268,Abstain,1,1,7
735,4/17/2023,id268,Against,17,17,115
736,4/17/2023,id268,For,21,21,158
737,4/17/2023,id266,For,6,6,58
738,4/17/2023,id266,Abstain,4,4,16
739,4/17/2023,id266,Against,16,16,87
740,4/24/2023,id274,Against,4,4,59
741,4/24/2023,id273,Against,2,2,3
742,4/24/2023,id272,For,4,4,25
743,4/24/2023,id272,Against,6,6,61
744,4/24/2023,id271,Against,3,3,28
745,4/24/2023,id271,For,11,11,121
746,4/24/2023,id270,Against,23,23,130
747,4/24/2023,id270,Abstain,2,2,7
748,4/24/2023,id270,For,5,5,6
749,5/1/2023,id283,Against,2,2,16
750,5/1/2023,id282,Against,3,3,32
751,5/1/2023,id282,For,3,3,21
752,5/1/2023,id281,Against,8,8,55
753,5/1/2023,id280,Against,5,5,41
754,5/1/2023,id280,For,18,18,106
755,5/1/2023,id280,Abstain,2,2,9
756,5/1/2023,id279,For,28,28,141
757,5/1/2023,id279,Against,15,15,124
758,5/1/2023,id279,Abstain,1,1,6
759,5/1/2023,id278,Abstain,3,3,5
760,5/1/2023,id278,Against,13,13,121
761,5/1/2023,id278,For,28,28,153
762,5/1/2023,id277,Against,13,13,121
763,5/1/2023,id277,For,27,27,154
764,5/1/2023,id276,Against,28,28,151
765,5/1/2023,id276,For,14,14,89
766,5/1/2023,id274,Against,12,12,59
767,5/1/2023,id274,For,31,31,157
768,5/1/2023,id274,Abstain,1,1,7
769,5/1/2023,id273,For,3,3,6
770,5/1/2023,id273,Against,14,14,130
771,5/1/2023,id272,Against,7,7,32
772,5/1/2023,id272,Abstain,4,4,12
773,5/1/2023,id272,For,25,25,159
774,5/1/2023,id271,Abstain,2,2,9
775,5/1/2023,id271,Against,26,26,145
776,5/1/2023,id271,For,38,38,58
777,5/8/2023,id287,Against,2,2,17
778,5/8/2023,id287,For,2,2,4
779,5/8/2023,id286,For,7,7,12
780,5/8/2023,id286,Against,1,1,16
781,5/8/2023,id285,Against,5,5,25
782,5/8/2023,id285,For,3,3,5
783,5/8/2023,id284,Abstain,2,2,9
784,5/8/2023,id284,For,31,31,185
785,5/8/2023,id284,Against,7,7,63
786,5/8/2023,id283,Abstain,2,2,4
787,5/8/2023,id283,Against,29,29,173
788,5/8/2023,id283,For,2,2,1
789,5/8/2023,id282,Against,22,22,131
790,5/8/2023,id282,For,25,25,161
791,5/8/2023,id282,Abstain,2,2,4
792,5/8/2023,id281,For,1,1,2
793,5/8/2023,id281,Against,8,8,50
794,5/8/2023,id280,For,3,3,6
795,5/8/2023,id280,Against,1,1,1
796,5/8/2023,id280,Abstain,2,2,4
797,5/8/2023,id279,For,2,2,2
