PROPOSAL_ID,SUPPORT,NUMBER_OF_VOTE_TRANSACTIONS,NUMBER_OF_ADRESSES,NUMBER_OF_VOTES
id291,For,1,1,2
id290,Against,8,8,94
id290,For,3,3,20
id289,For,12,12,99
id289,Against,8,8,78
id288,For,14,14,142
id288,Against,1,1,45
id287,Against,4,4,44
id287,For,19,19,214
id286,Abstain,1,1,7
id286,Against,9,9,137
id286,For,18,18,129
id285,For,9,9,48
id285,Against,23,23,208
id284,Against,7,7,63
id284,Abstain,2,2,9
id284,For,31,31,185
id283,Abstain,2,2,4
id283,For,2,2,1
id283,Against,31,31,189
id282,For,28,28,182
id282,Against,25,25,163
id282,Abstain,2,2,4
id281,For,1,1,2
id281,Against,16,16,105
id280,Abstain,4,4,13
id280,Against,6,6,42
id280,For,21,21,112
id279,Abstain,1,1,6
id279,Against,15,15,124
id279,For,30,30,143
id278,Abstain,3,3,5
id278,Against,13,13,121
id278,For,28,28,153
id277,Against,13,13,121
id277,For,27,27,154
id276,For,14,14,89
id276,Against,28,28,151
id274,For,31,31,157
id274,Against,16,16,118
id274,Abstain,1,1,7
id273,Against,16,16,133
id273,For,3,3,6
id272,Against,13,13,93
id272,For,29,29,184
id272,Abstain,4,4,12
id271,Against,29,29,173
id271,For,49,49,179
id271,Abstain,2,2,9
id270,Against,23,23,130
id270,Abstain,2,2,7
id270,For,5,5,6
id269,Abstain,3,3,57
id269,Against,6,6,78
id269,For,25,25,101
id268,Against,17,17,115
id268,For,21,21,158
id268,Abstain,1,1,7
id266,Abstain,4,4,16
id266,For,9,9,64
id266,Against,21,21,147
id265,For,7,7,69
id265,Against,21,21,144
id265,Abstain,1,1,7
id264,Against,10,10,110
id263,Against,13,13,110
id263,Abstain,2,2,1
id263,For,41,41,190
id262,Against,21,21,127
id262,Abstain,2,2,8
id262,For,27,27,131
id261,Against,26,26,139
id261,Abstain,3,3,8
id261,For,26,26,161
id260,Against,22,22,189
id260,For,21,21,72
id260,Abstain,1,1,1
id259,For,41,41,250
id259,Abstain,1,1,1
id259,Against,3,3,29
id258,For,2,2,3
id258,Abstain,2,2,9
id258,Against,29,29,224
id257,For,41,41,256
id257,Against,1,1,12
id257,Abstain,1,1,1
id256,Abstain,3,3,12
id256,Against,21,21,153
id256,For,44,44,163
