PROPOSAL_ID,SUPPORT,NUMBER_OF_VOTE_TRANSACTIONS,NUMBER_OF_ADRESSES,NUMBER_OF_VOTES
id255,For,12,12,36
id255,Abstain,3,3,10
id255,Against,21,21,108
id254,For,40,40,215
id254,Abstain,1,1,1
id253,For,26,26,154
id253,Abstain,1,1,1
id253,Against,10,10,89
id252,Against,11,11,87
id252,For,1,1,1
id251,For,30,30,125
id251,Against,4,4,44
id250,Against,2,2,3
id250,For,41,41,212
id250,Abstain,2,2,8
id249,For,44,44,218
id249,Abstain,1,1,3
id249,Against,1,1,1
id248,For,5,5,19
id248,Abstain,1,1,3
id248,Against,47,47,219
id246,For,1,1,2
id246,Against,3,3,25
id245,Against,2,2,2
id245,For,42,42,243
id245,Abstain,1,1,1
id244,Against,4,4,7
id244,Abstain,6,6,14
id244,For,36,36,213
id242,For,37,37,187
id242,Against,4,4,46
id242,Abstain,3,3,11
id241,For,39,39,107
id241,Against,15,15,128
id240,Abstain,6,6,63
id240,For,13,13,37
id240,Against,15,15,90
id239,For,6,6,23
id239,Against,10,10,89
id238,For,28,28,97
id238,Abstain,8,8,23
id238,Against,11,11,103
id237,For,39,39,195
id236,For,37,37,194
id233,For,22,22,112
id233,Against,5,5,21
id233,Abstain,7,7,26
id232,Abstain,4,4,44
id232,For,3,3,6
id232,Against,22,22,128
id231,For,36,36,184
id229,Abstain,4,4,63
id229,For,29,29,126
id229,Against,7,7,37
id228,For,14,14,119
id228,Against,13,13,83
id228,Abstain,1,1,1
id227,Abstain,2,2,23
id227,Against,13,13,93
id227,For,23,23,123
id226,Abstain,1,1,2
id226,For,31,31,176
id226,Against,6,6,39
id225,Against,22,22,134
id225,For,9,9,24
id224,For,22,22,151
id224,Abstain,2,2,3
id224,Against,11,11,17
id223,For,18,18,45
id223,Abstain,2,2,17
id223,Against,20,20,102
id222,Against,33,33,197
id222,For,6,6,27
id222,Abstain,2,2,4
id221,For,28,28,154
id221,Abstain,1,1,3
id221,Against,16,16,86
id219,Against,3,3,22
id219,For,1,1,16
id218,Abstain,1,1,2
id218,Against,28,28,122
id218,For,42,42,158
id217,Abstain,3,3,25
id217,Against,4,4,22
id217,For,43,43,155
id216,Abstain,3,3,19
id216,For,33,33,166
id216,Against,11,11,75
id215,Against,21,21,126
id215,For,35,35,146
id215,Abstain,2,2,2
id214,For,42,42,190
id214,Abstain,1,1,0
id214,Against,4,4,6
id211,Against,8,8,36
id211,Abstain,1,1,22
id211,For,47,47,171
id210,For,5,5,32
id210,Against,35,35,176
id210,Abstain,2,2,3
id209,Abstain,2,2,4
id209,For,42,42,207
id208,Against,8,8,57
id208,For,27,27,99
id208,Abstain,8,8,61
id207,Against,1,1,1
id207,Abstain,1,1,1
id207,For,49,49,249
id206,Against,14,14,72
id206,For,42,42,196
id205,For,46,46,234
id205,Against,2,2,4
id205,Abstain,3,3,5
id204,For,7,7,22
id204,Abstain,1,1,1
id204,Against,38,38,213
id203,Against,40,40,210
id203,For,11,11,25
id202,For,14,14,31
id202,Abstain,2,2,3
id202,Against,23,23,133
id201,For,32,32,169
id201,Against,6,6,16
id200,Abstain,1,1,2
id200,Against,40,40,164
id200,For,3,3,14
id199,For,47,47,226
id199,Against,4,4,9
id198,For,13,13,46
id198,Abstain,7,7,50
id198,Against,34,34,151
id197,Abstain,2,2,27
id197,For,30,30,163
id197,Against,2,2,9
id196,Against,25,25,181
id196,Abstain,1,1,2
id196,For,4,4,3
id195,Abstain,1,1,0
id195,For,39,39,215
id194,Abstain,1,1,0
id194,For,48,48,230
id193,For,43,43,220
id193,Against,8,8,45
id192,For,35,35,192
id192,Against,2,2,8
id192,Abstain,2,2,4
id191,For,10,10,38
id191,Against,22,22,101
id191,Abstain,5,5,67
id190,For,43,43,234
id190,Against,1,1,1
id189,For,44,44,114
id189,Abstain,4,4,66
id189,Against,30,30,118
id188,Abstain,7,7,87
id188,For,6,6,22
id188,Against,20,20,90
id187,For,12,12,27
id187,Against,14,14,91
id186,For,5,5,7
id186,Abstain,3,3,4
id186,Against,11,11,57
id185,For,40,40,182
id185,Abstain,1,1,2
id184,Against,2,2,2
id184,For,41,41,185
id183,Abstain,1,1,60
id183,For,34,34,114
id183,Against,8,8,46
id182,Abstain,8,8,74
id182,Against,14,14,64
id182,For,24,24,82
id181,Against,4,4,4
id181,For,25,25,89
id181,Abstain,1,1,2
id180,For,36,36,162
id179,Against,5,5,8
id179,For,32,32,135
id178,Against,12,12,39
id178,For,24,24,81
id178,Abstain,4,4,67
id177,For,38,38,180
id177,Against,4,4,20
id176,For,32,32,83
id176,Against,4,4,13
id175,Against,20,20,90
id175,Abstain,1,1,1
id175,For,21,21,68
id174,Against,2,2,1
id174,Abstain,1,1,2
id174,For,38,38,174
id173,Abstain,1,1,0
id173,Against,11,11,23
id173,For,22,22,107
id172,Abstain,3,3,0
id172,For,40,40,194
id172,Against,1,1,1
id171,Abstain,1,1,19
id171,Against,3,3,2
id171,For,36,36,166
id170,For,22,22,91
id170,Abstain,1,1,19
id170,Against,24,24,67
id169,For,32,32,146
id169,Against,1,1,0
id169,Abstain,1,1,0
id168,For,7,7,7
id168,Against,26,26,127
id168,Abstain,3,3,0
id167,Against,23,23,108
id167,For,36,36,143
id167,Abstain,2,2,0
id166,Abstain,1,1,0
id166,For,48,48,208
id166,Against,1,1,0
id165,Against,14,14,109
id165,For,9,9,24
id164,For,29,29,180
id164,Abstain,2,2,3
id163,For,31,31,136
id163,Against,1,1,2
id162,For,37,37,168
id162,Against,1,1,0
id161,For,38,38,166
id159,For,29,29,60
id159,Against,5,5,27
id158,Against,16,16,65
id158,Abstain,1,1,1
id158,For,9,9,14
id157,Against,20,20,68
id157,For,11,11,32
id157,Abstain,1,1,1
id156,For,31,31,181
id156,Abstain,1,1,2
id155,Against,1,1,0
id155,For,37,37,205
id155,Abstain,1,1,2
id154,For,37,37,163
id152,For,36,36,203
id151,Against,3,3,8
id151,Abstain,4,4,53
id151,For,32,32,112
id150,For,30,30,171
id150,Against,2,2,2
id149,For,2,2,3
id149,Abstain,1,1,2
id149,Against,7,7,23
id147,For,40,40,140
id147,Against,6,6,1
id146,Abstain,4,4,4
id146,Against,14,14,54
id146,For,30,30,35
id145,Against,6,6,14
id145,Abstain,2,2,2
id145,For,29,29,149
id144,For,11,11,106
id144,Against,3,3,31
id143,For,32,32,176
id142,For,28,28,143
id142,Against,1,1,29
id141,For,19,19,78
id141,Against,8,8,88
id140,For,25,25,140
id139,Abstain,1,1,0
id139,For,32,32,110
id139,Against,1,1,0
id138,Against,12,12,65
id138,For,15,15,87
id137,For,19,19,154
id137,Against,1,1,0
id136,Against,12,12,97
id136,For,5,5,43
id135,For,21,21,140
id134,Against,16,16,123
id134,Abstain,1,1,2
id134,For,13,13,29
id133,Abstain,3,3,9
id133,Against,8,8,99
id133,For,6,6,26
id132,For,14,14,60
id132,Against,5,5,58
id132,Abstain,1,1,1
id131,For,1,1,2
id131,Against,4,4,16
id130,Abstain,1,1,2
id130,Against,10,10,60
id130,For,6,6,42
id129,Against,1,1,1
id129,For,19,19,59
id128,For,33,33,111
id128,Abstain,1,1,1
id127,For,19,19,51
id127,Against,10,10,31
id126,For,27,27,157
id125,For,30,30,161
id124,For,25,25,150
id124,Abstain,1,1,2
id124,Against,1,1,1
id123,For,14,14,99
id123,Against,2,2,7
id122,Against,10,10,72
id122,Abstain,2,2,3
id122,For,5,5,12
id121,Abstain,2,2,8
id121,Against,9,9,99
id121,For,5,5,27
id120,Abstain,2,2,3
id120,Against,17,17,130
id120,For,5,5,15
id119,For,32,32,158
id119,Abstain,1,1,1
id119,Against,1,1,1
id118,For,24,24,69
id118,Against,2,2,63
id117,For,4,4,9
id116,For,24,24,109
id114,For,33,33,137
id113,Against,1,1,1
id113,For,28,28,123
id113,Abstain,1,1,1
id112,For,27,27,117
id112,Abstain,1,1,1
id112,Against,1,1,1
id111,Abstain,3,3,23
id111,For,35,35,117
id111,Against,1,1,1
id110,For,36,36,138
id109,For,28,28,87
id109,Against,3,3,4
id108,Against,7,7,7
id108,For,27,27,136
id107,For,8,8,42
id107,Abstain,7,7,25
id107,Against,9,9,41
id106,Against,1,1,1
id106,For,19,19,102
id105,For,27,27,104
id104,For,20,20,68
id104,Against,3,3,29
id103,For,30,30,114
id103,Against,1,1,1
id102,Against,1,1,1
id102,Abstain,1,1,2
id102,For,16,16,68
id101,For,21,21,68
id101,Abstain,1,1,14
id101,Against,1,1,1
id100,For,17,17,43
id100,Abstain,1,1,1
id100,Against,1,1,1
id99,Against,2,2,2
id99,For,23,23,77
id98,Abstain,1,1,6
id98,For,12,12,42
id97,Abstain,1,1,6
id97,For,10,10,80
id97,Against,3,3,4
id95,For,28,28,139
id94,For,14,14,52
id94,Against,5,5,33
id93,For,15,15,63
id93,Against,4,4,52
id93,Abstain,2,2,3
id92,For,27,27,126
id92,Against,1,1,1
id91,For,27,27,123
id90,Against,1,1,1
id90,Abstain,1,1,1
id90,For,31,31,132
id89,Abstain,2,2,2
id89,Against,12,12,89
id89,For,9,9,39
id87,For,27,27,134
id86,Abstain,12,12,77
id86,Against,7,7,18
id86,For,2,2,2
id85,Against,1,1,1
id85,For,29,29,129
id84,For,23,23,91
id84,Against,2,2,2
id84,Abstain,2,2,10
id83,For,26,26,127
id83,Abstain,1,1,2
id82,For,24,24,115
id82,Against,5,5,22
id82,Abstain,1,1,1
id81,Abstain,1,1,1
id81,Against,22,22,83
id81,For,6,6,54
id78,For,3,3,5
id78,Abstain,2,2,30
id78,Against,4,4,45
id77,For,15,15,91
id77,Abstain,1,1,1
id75,For,26,26,120
id75,Abstain,2,2,2
id75,Against,1,1,1
id74,Abstain,3,3,3
id74,For,3,3,3
id74,Against,12,12,58
id73,For,25,25,114
id72,For,12,12,31
id72,Against,4,4,10
id72,Abstain,4,4,61
id71,For,13,13,54
id70,For,15,15,41
id70,Abstain,1,1,1
id70,Against,1,1,1
id69,For,13,13,59
id69,Abstain,2,2,2
id68,Abstain,1,1,1
id68,For,16,16,67
id67,Against,1,1,1
id67,For,23,23,85
id65,For,17,17,73
id65,Against,2,2,2
id65,Abstain,1,1,1
id64,For,18,18,73
id64,Against,1,1,1
id63,Against,1,1,1
id63,Abstain,1,1,1
id63,For,15,15,68
id62,For,20,20,71
id61,For,26,26,92
id60,For,12,12,51
id60,Abstain,3,3,14
id59,Abstain,1,1,1
id59,Against,9,9,62
id59,For,1,1,3
id58,For,11,11,60
id58,Abstain,1,1,1
id58,Against,1,1,11
id57,For,8,8,48
id57,Against,2,2,8
id57,Abstain,6,6,16
id56,Abstain,2,2,2
id56,For,12,12,39
id56,Against,1,1,1
id55,Abstain,2,2,2
id55,Against,11,11,41
id55,For,1,1,1
id54,For,12,12,41
id54,Abstain,3,3,4
id53,For,20,20,75
id53,Abstain,2,2,1
id52,Against,3,3,9
id52,For,14,14,42
id52,Abstain,4,4,27
id51,For,23,23,63
id51,Abstain,2,2,2
id50,Against,3,3,12
id49,Abstain,4,4,28
id49,Against,8,8,9
id49,For,6,6,33
id48,For,16,16,66
id48,Against,1,1,5
id47,For,15,15,41
id47,Abstain,2,2,2
id46,Abstain,2,2,3
id46,For,16,16,65
id45,For,12,12,61
id44,For,17,17,78
id44,Abstain,2,2,1
id44,Against,1,1,1
id43,For,20,20,67
id42,For,23,23,61
id41,For,11,11,42
id40,For,18,18,70
id39,For,11,11,56
id38,For,18,18,72
id37,For,17,17,50
id37,Against,1,1,14
id36,Against,1,1,1
id36,For,8,8,45
id35,For,11,11,47
id34,For,12,12,51
id33,Against,1,1,1
id33,For,24,24,75
id32,For,5,5,36
id31,For,6,6,33
id30,For,9,9,32
id30,Against,2,2,2
id29,For,19,19,56
id28,Against,1,1,2
id28,For,10,10,35
id27,For,12,12,34
id26,For,15,15,32
id25,For,8,8,28
id24,Against,7,7,28
id24,For,2,2,8
id23,For,9,9,39
id22,Against,5,5,14
id22,Abstain,2,2,10
id22,For,13,13,30
id21,Abstain,1,1,11
id21,Against,7,7,19
id21,For,12,12,21
id20,For,13,13,47
id19,For,7,7,24
id18,Abstain,3,3,11
id18,Against,1,1,6
id18,For,19,19,34
id17,For,19,19,46
id16,Against,2,2,8
id16,For,14,14,27
id15,For,11,11,29
id14,For,13,13,25
id13,For,11,11,20
id12,For,10,10,20
id11,For,12,12,20
id10,For,6,6,21
id9,For,14,14,23
id8,For,6,6,20
id7,For,5,5,9
id6,For,10,10,16
id5,For,9,9,17
id4,For,9,9,14
id3,For,9,9,14
id2,For,9,9,12
id1,For,6,6,7
