WEEKLY,PROPOSAL_ID,SUPPORT,NUMBER_OF_VOTE_TRANSACTIONS,NUMBER_OF_ADRESSES,NUMBER_OF_VOTES
2023-03-06T00:00:00Z,33,Abstain,6,6,11.678902
2023-03-06T00:00:00Z,33,For,160,160,3503236.953
2023-03-13T00:00:00Z,33,For,206,207,44841649.08
2023-03-06T00:00:00Z,33,Against,5,5,0.05
2023-03-13T00:00:00Z,33,Abstain,1,1,2.503609
2023-03-13T00:00:00Z,33,Against,6,6,2500223.183
2023-04-03T00:00:00Z,34,For,70,70,1254.501708
2023-04-03T00:00:00Z,34,Abstain,1,1,0
2023-04-10T00:00:00Z,34,For,124,124,42446718.62
2023-04-10T00:00:00Z,36,Against,2,2,1.184874
2023-04-03T00:00:00Z,36,For,6,6,5.034644
2023-04-10T00:00:00Z,36,For,165,165,42963434.93
2023-04-10T00:00:00Z,37,For,50,50,330.517678
2023-04-10T00:00:00Z,37,Against,3,3,6155.002475
2023-04-17T00:00:00Z,37,For,26,26,49878360.05
2023-05-01T00:00:00Z,38,For,16,16,32534487.71
2023-04-24T00:00:00Z,38,For,40,40,16405652.77
2023-04-24T00:00:00Z,38,Abstain,1,1,6151.896451
2023-05-15T00:00:00Z,39,For,8,8,31.256615
2023-05-08T00:00:00Z,39,For,19,19,12240805.33
2023-05-08T00:00:00Z,39,Against,2,2,1
