PROPOSAL_ID,SUPPORT,NUMBER_OF_VOTE_TRANSACTIONS,NUMBER_OF_ADRESSES,NUMBER_OF_VOTES
39,Against,2,2,1
39,For,35,35,22742403.53
38,For,56,56,48940140.48
38,Abstain,1,1,6151.896451
37,For,76,76,49878690.57
37,Against,3,3,6155.002475
36,Against,2,2,1.184874
36,For,171,171,42963439.97
34,For,194,194,42447973.12
34,Abstain,1,1,0
33,Abstain,7,7,14.182511
33,Against,11,11,2500223.233
33,For,366,367,48344886.03
32,For,2795,2795,41568985.34
32,Against,22,22,10.805372
32,Abstain,2,2,11
31,For,1310,1311,55880027.76
31,Against,360,360,28466755.23
31,Abstain,15,15,450009.2307
30,For,1204,1204,51006300.22
30,Against,41,41,2700345.035
30,Abstain,1,1,1
29,For,1806,1806,55568689.94
29,Against,12,12,36.733014
29,Abstain,3,3,11.568217
28,Against,28,28,4919245.082
28,For,1439,1439,11549994.01
28,Abstain,2,2,11
25,For,5796,5797,72421473.78
25,Against,32,32,120.518345
25,Abstain,7,7,0.35
24,Against,9,9,770.717416
24,Abstain,2,2,200611.1192
24,For,2450,2450,86298595.27
23,Against,6,6,390.657368
23,For,934,937,50634749.74
23,Abstain,2,2,3.06519
22,Against,10,10,1062.878498
22,Abstain,3,3,2500000
22,For,1234,1235,70398595.6
20,Against,2,2,3078.180268
20,For,659,661,46069208.6
19,For,456,459,50690718.41
19,Against,2,2,3078.180268
18,For,694,694,2514086.93
17,For,869,869,5029243.527
17,Abstain,1,1,0
17,Against,1,1,0
16,Against,1,1,1470.702544
16,For,859,861,59556015.2
16,Abstain,1,1,206276.3784
14,For,309,311,43772750.27
13,Against,9,9,11887306.86
13,For,1121,1121,50509984.14
13,Abstain,1,1,2500000
11,Against,16,16,1261.705799
11,For,1949,1949,77413341.33
10,For,71,71,72126216.2
10,Against,4,4,503009.4094
9,For,41,41,71369769.19
5,TRUE,53,53,14464955.37
5,FALSE,2,2,5650.566
4,TRUE,147,147,90980769.69
4,FALSE,2,2,2035.736343
3,TRUE,273,269,123550494.6
3,FALSE,17,17,11733.90841
2,FALSE,172,168,48269128.28
2,TRUE,289,287,85179612.1
1,TRUE,508,501,119277811
1,FALSE,108,108,15737442.07
