DAILY,PROPOSAL_ID,SUPPORT,NUMBER_OF_VOTE_TRANSACTIONS,NUMBER_OF_ADRESSES,NUMBER_OF_VOTES
2022-03-03T00:00:00Z,11,For,1168,1168,12371603.13
2022-03-03T00:00:00Z,11,Against,1,1,1.000031
2022-03-06T00:00:00Z,11,For,180,180,3575723.019
2022-03-09T00:00:00Z,11,For,20,20,7502494.178
2022-03-05T00:00:00Z,11,Against,12,12,2.420639
2022-03-04T00:00:00Z,11,Against,2,2,3
2022-03-04T00:00:00Z,11,For,302,302,17503592.93
2022-03-07T00:00:00Z,11,Against,1,1,1255.285129
2022-03-21T00:00:00Z,13,For,3,3,5001041.949
2022-03-22T00:00:00Z,13,For,334,334,13902337.12
2022-03-26T00:00:00Z,13,Against,1,1,727.894542
2022-03-23T00:00:00Z,13,Abstain,1,1,2500000
2022-03-23T00:00:00Z,13,For,273,273,13503340.94
2022-03-27T00:00:00Z,13,Against,3,3,9384796.754
2022-03-22T00:00:00Z,13,Against,4,4,1282.211465
2022-03-24T00:00:00Z,13,For,31,31,4402298.006
2022-03-26T00:00:00Z,13,For,68,68,4500335.404
2022-03-27T00:00:00Z,13,For,382,382,3001649.941
2022-03-25T00:00:00Z,13,For,30,30,6198980.786
2022-03-23T00:00:00Z,13,Against,1,1,2500500
2022-04-08T00:00:00Z,14,For,44,44,2488.125257
2022-04-03T00:00:00Z,14,For,3,3,3500482.609
2022-04-07T00:00:00Z,14,For,53,55,2709801.869
2022-04-09T00:00:00Z,14,For,13,13,17.5
2022-04-04T00:00:00Z,14,For,10,10,7931854.013
2022-04-06T00:00:00Z,14,For,184,184,16128076.69
2022-04-05T00:00:00Z,14,For,2,2,13500029.46
2022-04-23T00:00:00Z,16,For,53,53,14313976.71
2022-04-25T00:00:00Z,16,For,41,41,7001817.379
2022-04-23T00:00:00Z,16,Against,1,1,1470.702544
2022-04-24T00:00:00Z,16,Abstain,1,1,206276.3784
2022-04-28T00:00:00Z,16,For,1,1,400.217368
2022-04-26T00:00:00Z,16,For,18,18,28235702.42
2022-04-27T00:00:00Z,16,For,19,19,9500103.445
2022-04-29T00:00:00Z,16,For,2,3,77.696349
2022-04-22T00:00:00Z,16,For,2,2,3.155
2022-04-24T00:00:00Z,16,For,723,724,503934.1817
2022-05-11T00:00:00Z,17,For,13,13,2500023.39
2022-05-08T00:00:00Z,17,For,628,628,25999.09996
2022-05-09T00:00:00Z,17,Against,1,1,0
2022-05-10T00:00:00Z,17,Abstain,1,1,0
2022-05-09T00:00:00Z,17,For,192,192,2503116.029
2022-05-10T00:00:00Z,17,For,36,36,105.008266
2022-05-08T00:00:00Z,18,For,545,545,12594.34541
2022-05-09T00:00:00Z,18,For,140,140,2500378.827
2022-05-10T00:00:00Z,18,For,9,9,1113.757584
2022-05-15T00:00:00Z,19,For,278,278,2730473.906
2022-05-16T00:00:00Z,19,Against,1,1,2678.180268
2022-05-18T00:00:00Z,19,For,49,52,5134220.602
2022-05-18T00:00:00Z,19,Against,1,1,400
2022-05-17T00:00:00Z,19,For,35,35,16643362.58
2022-05-14T00:00:00Z,19,For,18,18,3500625.181
2022-05-13T00:00:00Z,19,For,6,6,5001093.268
2022-05-19T00:00:00Z,19,For,46,46,51.98671
2022-05-16T00:00:00Z,19,For,24,24,17680890.89
2022-05-20T00:00:00Z,20,For,41,41,509.554231
2022-05-16T00:00:00Z,20,For,49,49,17681055.57
2022-05-18T00:00:00Z,20,For,71,73,3018357.854
2022-05-13T00:00:00Z,20,For,3,3,2500039.939
2022-05-17T00:00:00Z,20,For,83,83,16644040.01
2022-05-15T00:00:00Z,20,For,328,328,2720628.331
2022-05-14T00:00:00Z,20,For,33,33,3502951.9
2022-05-19T00:00:00Z,20,For,51,51,1625.444321
2022-05-16T00:00:00Z,20,Against,1,1,2678.180268
2022-05-18T00:00:00Z,20,Against,1,1,400
2022-06-19T00:00:00Z,22,Abstain,1,1,0
2022-06-21T00:00:00Z,22,For,61,61,25222997.88
2022-06-19T00:00:00Z,22,Against,2,2,0
2022-06-20T00:00:00Z,22,Against,5,5,56.464891
2022-06-18T00:00:00Z,22,For,232,232,2502609.692
2022-06-24T00:00:00Z,22,For,11,12,17501214.64
2022-06-21T00:00:00Z,22,Abstain,2,2,2500000
2022-06-21T00:00:00Z,22,Against,1,1,1005.413607
2022-06-22T00:00:00Z,22,For,59,59,3109077.768
2022-06-20T00:00:00Z,22,For,305,305,2501607.179
2022-06-19T00:00:00Z,22,For,536,536,2524794.886
2022-06-25T00:00:00Z,22,For,18,18,2502431.43
2022-06-18T00:00:00Z,22,Against,2,2,1
2022-06-23T00:00:00Z,22,For,12,12,14533862.12
2022-07-09T00:00:00Z,23,For,6,6,7337009.176
