,WEEKLY,PROPOSAL_ID,SUPPORT,NUMBER_OF_VOTE_TRANSACTIONS,NUMBER_OF_ADRESSES,NUMBER_OF_VOTES
0,2021-06-28T00:00:00Z,id1,For,16,16,6877.742911
1,2021-06-21T00:00:00Z,id1,Against,56,56,12540411.87
2,2020-10-12T00:00:00Z,id1,For,272,272,39596759.31
3,2020-10-12T00:00:00Z,id1,Against,48,48,696856.8717
4,2021-06-21T00:00:00Z,id1,For,220,220,79674173.91
5,2021-06-28T00:00:00Z,id1,Against,4,4,2500173.328
6,2020-10-26T00:00:00Z,id2,Against,72,72,625063.1923
7,2021-08-16T00:00:00Z,id2,For,47,47,47415197.1
8,2020-10-26T00:00:00Z,id2,For,145,145,21803519.47
9,2021-08-09T00:00:00Z,id2,For,18,18,209346.777
10,2020-10-19T00:00:00Z,id2,Against,44,44,655568.5653
11,2020-10-19T00:00:00Z,id2,For,79,79,15751548.75
12,2021-08-16T00:00:00Z,id2,Against,56,56,46988496.52
13,2020-12-14T00:00:00Z,id3,For,121,121,28781318.98
14,2020-12-21T00:00:00Z,id3,For,55,55,31307493.61
15,2021-08-23T00:00:00Z,id3,For,31,31,32532732.93
16,2021-08-16T00:00:00Z,id3,For,66,66,30928949.06
17,2020-12-21T00:00:00Z,id3,Against,3,3,393.861497
18,2021-08-16T00:00:00Z,id3,Against,4,4,2433.523277
19,2020-12-14T00:00:00Z,id3,Against,10,10,8906.523632
20,2021-05-31T00:00:00Z,id4,For,113,113,71871244.98
21,2021-06-07T00:00:00Z,id4,For,33,33,19109524.62
22,2021-05-31T00:00:00Z,id4,Against,2,2,2035.736343
23,2022-03-14T00:00:00Z,id4,For,1,1,0.089595
24,2021-06-07T00:00:00Z,id5,For,44,44,14464555.37
25,2021-06-14T00:00:00Z,id5,For,9,9,400.0
26,2021-06-07T00:00:00Z,id5,Against,2,2,5650.566
27,2021-11-08T00:00:00Z,id9,For,18,18,39431267.96
28,2021-11-01T00:00:00Z,id9,For,23,23,31938501.23
29,2021-12-13T00:00:00Z,id10,Against,1,1,300.866127
30,2021-12-13T00:00:00Z,id10,For,37,37,42134518.3
31,2021-12-06T00:00:00Z,id10,For,34,34,29991697.91
32,2021-12-06T00:00:00Z,id10,Against,3,3,502708.5433
33,2022-03-07T00:00:00Z,id11,For,76,76,37561539.86
34,2022-02-28T00:00:00Z,id11,For,1873,1873,39851801.47
35,2022-02-28T00:00:00Z,id11,Against,15,15,6.42067
36,2022-03-07T00:00:00Z,id11,Against,1,1,1255.285129
37,2022-03-21T00:00:00Z,id13,For,1121,1121,50509984.14
38,2022-03-21T00:00:00Z,id13,Against,9,9,11887306.86
39,2022-03-21T00:00:00Z,id13,Abstain,1,1,2500000.0
40,2022-03-28T00:00:00Z,id14,For,3,3,3500482.609
41,2022-04-04T00:00:00Z,id14,For,306,308,40272267.66
42,2022-04-18T00:00:00Z,id16,For,778,779,14817914.04
43,2022-04-25T00:00:00Z,id16,For,81,82,44738101.16
44,2022-04-18T00:00:00Z,id16,Abstain,1,1,206276.3784
45,2022-04-18T00:00:00Z,id16,Against,1,1,1470.702544
46,2022-05-02T00:00:00Z,id17,For,628,628,25999.09996
47,2022-05-09T00:00:00Z,id17,Against,1,1,0.0
48,2022-05-09T00:00:00Z,id17,For,241,241,5003244.427
49,2022-05-09T00:00:00Z,id17,Abstain,1,1,0.0
50,2022-05-02T00:00:00Z,id18,For,545,545,12594.34541
51,2022-05-09T00:00:00Z,id18,For,149,149,2501492.585
52,2022-05-16T00:00:00Z,id19,Against,2,2,3078.180268
53,2022-05-09T00:00:00Z,id19,For,302,302,11232192.35
54,2022-05-16T00:00:00Z,id19,For,154,157,39458526.05
55,2022-05-16T00:00:00Z,id20,For,295,297,37345588.43
56,2022-05-09T00:00:00Z,id20,For,364,364,8723620.169
57,2022-05-16T00:00:00Z,id20,Against,2,2,3078.180268
58,2022-06-13T00:00:00Z,id22,Abstain,1,1,0.0
59,2022-06-13T00:00:00Z,id22,For,768,768,5027404.578
60,2022-06-20T00:00:00Z,id22,Against,6,6,1061.878498
61,2022-06-20T00:00:00Z,id22,Abstain,2,2,2500000.0
62,2022-06-13T00:00:00Z,id22,Against,4,4,1.0
63,2022-06-20T00:00:00Z,id22,For,466,467,65371191.02
64,2022-07-04T00:00:00Z,id23,For,78,78,7337373.037
65,2022-07-11T00:00:00Z,id23,For,856,859,43297376.7
66,2022-07-11T00:00:00Z,id23,Against,6,6,390.657368
67,2022-07-11T00:00:00Z,id23,Abstain,2,2,3.06519
68,2022-08-22T00:00:00Z,id24,For,567,567,4685143.555
69,2022-08-15T00:00:00Z,id24,Against,8,8,769.717416
70,2022-08-15T00:00:00Z,id24,Abstain,2,2,200611.1192
71,2022-08-22T00:00:00Z,id24,Against,1,1,1.0
72,2022-08-15T00:00:00Z,id24,For,1883,1883,81613451.72
73,2022-10-10T00:00:00Z,id25,Abstain,7,7,0.35
74,2022-10-03T00:00:00Z,id25,For,1263,1263,3567192.704
75,2022-10-10T00:00:00Z,id25,For,4533,4534,68854281.08
76,2022-10-10T00:00:00Z,id25,Against,28,28,107.245906
77,2022-10-03T00:00:00Z,id25,Against,4,4,13.272439
78,2022-12-19T00:00:00Z,id28,Abstain,1,1,10.0
79,2022-12-12T00:00:00Z,id28,Against,16,16,72.95514
80,2022-12-19T00:00:00Z,id28,Against,12,12,4919172.127
81,2022-12-12T00:00:00Z,id28,Abstain,1,1,1.0
82,2022-12-19T00:00:00Z,id28,For,627,627,5003482.14
83,2022-12-12T00:00:00Z,id28,For,812,812,6546511.87
84,2022-12-12T00:00:00Z,id29,For,46,46,3000230.382
85,2022-12-19T00:00:00Z,id29,Abstain,3,3,11.568217
86,2022-12-19T00:00:00Z,id29,Against,10,10,25.889041
87,2022-12-12T00:00:00Z,id29,Against,2,2,10.843973
88,2022-12-19T00:00:00Z,id29,For,1760,1760,52568459.56
89,2023-01-30T00:00:00Z,id30,Abstain,1,1,1.0
90,2023-01-23T00:00:00Z,id30,For,402,402,12303760.4
